reporting_unit,reporting_unit_type,state,peer_group,financial_year,year,patient_cohort,number_of_presentations,number_of_presentations_flag,median_time,p90_time,peer_group_avg_p90_time
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2014-15,2014,Not subsequently admitted patients,25196.0,reported,2 hrs 31 mins,4 hrs 38 mins,5 hrs 20 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2015-16,2015,Not subsequently admitted patients,27426.0,reported,2 hrs 36 mins,4 hrs 49 mins,5 hrs 25 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2016-17,2016,Not subsequently admitted patients,27570.0,reported,2 hrs 31 mins,4 hrs 42 mins,5 hrs 27 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2017-18,2017,Not subsequently admitted patients,26142.0,reported,2 hrs 36 mins,4 hrs 57 mins,5 hrs 40 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2018-19,2018,Not subsequently admitted patients,25989.0,reported,2 hrs 46 mins,5 hrs 12 mins,5 hrs 53 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2019-20,2019,Not subsequently admitted patients,27095.0,reported,2 hrs 37 mins,5 hrs 7 mins,5 hrs 56 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2020-21,2020,Not subsequently admitted patients,25412.0,reported,2 hrs 35 mins,5 hrs 8 mins,6 hrs 15 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2021-22,2021,Not subsequently admitted patients,24128.0,reported,2 hrs 59 mins,6 hrs 14 mins,7 hrs 2 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2022-23,2022,Not subsequently admitted patients,25848.0,reported,2 hrs 59 mins,6 hrs 36 mins,7 hrs 57 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2023-24,2023,Not subsequently admitted patients,26444.0,reported,3 hrs 14 mins,6 hrs 56 mins,8 hrs 11 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2024-25,2024,Not subsequently admitted patients,27117.0,reported,3 hrs 17 mins,6 hrs 49 mins,8 hrs 29 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2011-12,2011,Subsequently admitted patients,11823.0,reported,5 hrs 47 mins,10 hrs 36 mins,14 hrs 16 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2012-13,2012,Subsequently admitted patients,12578.0,reported,4 hrs 47 mins,8 hrs 50 mins,13 hrs 34 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2013-14,2013,Subsequently admitted patients,12496.0,reported,4 hrs 14 mins,8 hrs 0 mins,11 hrs 51 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2014-15,2014,Subsequently admitted patients,12809.0,reported,4 hrs 47 mins,9 hrs 33 mins,12 hrs 0 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2015-16,2015,Subsequently admitted patients,10819.0,reported,4 hrs 34 mins,8 hrs 15 mins,11 hrs 21 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2016-17,2016,Subsequently admitted patients,11425.0,reported,3 hrs 56 mins,7 hrs 39 mins,11 hrs 25 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2017-18,2017,Subsequently admitted patients,14201.0,reported,3 hrs 54 mins,8 hrs 23 mins,11 hrs 43 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2018-19,2018,Subsequently admitted patients,16313.0,reported,3 hrs 53 mins,8 hrs 22 mins,12 hrs 29 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2019-20,2019,Subsequently admitted patients,15950.0,reported,3 hrs 56 mins,9 hrs 5 mins,11 hrs 59 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2020-21,2020,Subsequently admitted patients,16204.0,reported,4 hrs 28 mins,10 hrs 29 mins,13 hrs 50 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2021-22,2021,Subsequently admitted patients,16397.0,reported,5 hrs 26 mins,11 hrs 38 mins,15 hrs 46 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2022-23,2022,Subsequently admitted patients,17193.0,reported,5 hrs 44 mins,14 hrs 11 mins,17 hrs 44 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2023-24,2023,Subsequently admitted patients,17538.0,reported,5 hrs 55 mins,15 hrs 7 mins,17 hrs 48 mins
Concord Repatriation Hospital,Hospital,NSW,Major hospitals,2024-25,2024,Subsequently admitted patients,16499.0,reported,5 hrs 46 mins,14 hrs 44 mins,18 hrs 19 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2013-14,2013,All patients,2983.0,reported,0 hrs 35 mins,2 hrs 5 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2014-15,2014,All patients,2933.0,reported,0 hrs 35 mins,2 hrs 35 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2015-16,2015,All patients,3042.0,reported,0 hrs 40 mins,2 hrs 32 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2016-17,2016,All patients,2715.0,reported,0 hrs 50 mins,2 hrs 41 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2017-18,2017,All patients,2736.0,reported,1 hrs 10 mins,3 hrs 54 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2018-19,2018,All patients,2589.0,reported,1 hrs 13 mins,4 hrs 28 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2019-20,2019,All patients,2398.0,reported,1 hrs 16 mins,4 hrs 41 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2020-21,2020,All patients,2379.0,reported,1 hrs 44 mins,4 hrs 53 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2021-22,2021,All patients,2557.0,reported,1 hrs 50 mins,5 hrs 9 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2022-23,2022,All patients,3414.0,reported,1 hrs 10 mins,3 hrs 50 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2023-24,2023,All patients,3700.0,reported,1 hrs 7 mins,3 hrs 39 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2024-25,2024,All patients,3613.0,reported,1 hrs 13 mins,3 hrs 58 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2013-14,2013,Not subsequently admitted patients,2608.0,reported,0 hrs 30 mins,1 hrs 50 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2014-15,2014,Not subsequently admitted patients,2532.0,reported,0 hrs 30 mins,2 hrs 5 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2015-16,2015,Not subsequently admitted patients,2631.0,reported,0 hrs 35 mins,2 hrs 5 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2016-17,2016,Not subsequently admitted patients,2330.0,reported,0 hrs 45 mins,2 hrs 24 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2017-18,2017,Not subsequently admitted patients,2443.0,reported,1 hrs 4 mins,3 hrs 42 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2018-19,2018,Not subsequently admitted patients,2364.0,reported,1 hrs 8 mins,4 hrs 18 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2019-20,2019,Not subsequently admitted patients,2231.0,reported,1 hrs 10 mins,4 hrs 21 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2020-21,2020,Not subsequently admitted patients,2174.0,reported,1 hrs 36 mins,4 hrs 43 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2021-22,2021,Not subsequently admitted patients,2279.0,reported,1 hrs 42 mins,4 hrs 49 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2022-23,2022,Not subsequently admitted patients,3131.0,reported,1 hrs 5 mins,3 hrs 34 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2023-24,2023,Not subsequently admitted patients,3362.0,reported,1 hrs 2 mins,3 hrs 26 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2024-25,2024,Not subsequently admitted patients,3325.0,reported,1 hrs 8 mins,3 hrs 45 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2013-14,2013,Subsequently admitted patients,374.0,reported,1 hrs 5 mins,3 hrs 10 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2014-15,2014,Subsequently admitted patients,399.0,reported,1 hrs 30 mins,4 hrs 45 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2015-16,2015,Subsequently admitted patients,410.0,reported,1 hrs 30 mins,4 hrs 30 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2016-17,2016,Subsequently admitted patients,380.0,reported,1 hrs 29 mins,3 hrs 13 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2017-18,2017,Subsequently admitted patients,292.0,reported,2 hrs 2 mins,4 hrs 59 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2018-19,2018,Subsequently admitted patients,225.0,reported,2 hrs 11 mins,6 hrs 13 mins,Not peered
Condobolin Health Service,Hospital,NSW,Unpeered,2019-20,2019,Subsequently admitted patients,167.0,reported,2 hrs 47 mins,7 hrs 29 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2020-21,2020,Subsequently admitted patients,204.0,reported,2 hrs 54 mins,7 hrs 4 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2021-22,2021,Subsequently admitted patients,278.0,reported,3 hrs 6 mins,6 hrs 24 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2022-23,2022,Subsequently admitted patients,283.0,reported,2 hrs 9 mins,5 hrs 7 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2023-24,2023,Subsequently admitted patients,338.0,reported,2 hrs 2 mins,4 hrs 57 mins,0 hrs 0 mins
Condobolin Health Service,Hospital,NSW,Unpeered,2024-25,2024,Subsequently admitted patients,288.0,reported,2 hrs 23 mins,5 hrs 54 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2013-14,2013,All patients,1706.0,reported,0 hrs 30 mins,2 hrs 0 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2014-15,2014,All patients,1349.0,reported,0 hrs 35 mins,2 hrs 30 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2015-16,2015,All patients,779.0,reported,1 hrs 6 mins,4 hrs 0 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2016-17,2016,All patients,1020.0,reported,1 hrs 2 mins,4 hrs 59 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2017-18,2017,All patients,1268.0,reported,1 hrs 6 mins,4 hrs 48 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2018-19,2018,All patients,1198.0,reported,1 hrs 7 mins,4 hrs 36 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2019-20,2019,All patients,1197.0,reported,1 hrs 22 mins,4 hrs 51 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2020-21,2020,All patients,1568.0,reported,1 hrs 5 mins,3 hrs 59 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2021-22,2021,All patients,1919.0,reported,0 hrs 52 mins,3 hrs 30 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2022-23,2022,All patients,1339.0,reported,1 hrs 33 mins,4 hrs 20 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2023-24,2023,All patients,1403.0,reported,1 hrs 35 mins,4 hrs 30 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2024-25,2024,All patients,1393.0,reported,1 hrs 48 mins,5 hrs 1 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2013-14,2013,Not subsequently admitted patients,1610.0,reported,0 hrs 30 mins,1 hrs 50 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2014-15,2014,Not subsequently admitted patients,1270.0,reported,0 hrs 35 mins,2 hrs 5 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2015-16,2015,Not subsequently admitted patients,703.0,reported,1 hrs 0 mins,3 hrs 48 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2016-17,2016,Not subsequently admitted patients,913.0,reported,0 hrs 57 mins,4 hrs 20 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2017-18,2017,Not subsequently admitted patients,1095.0,reported,0 hrs 51 mins,4 hrs 1 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2018-19,2018,Not subsequently admitted patients,1037.0,reported,0 hrs 56 mins,3 hrs 54 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2019-20,2019,Not subsequently admitted patients,1063.0,reported,1 hrs 14 mins,4 hrs 36 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2020-21,2020,Not subsequently admitted patients,1465.0,reported,0 hrs 58 mins,3 hrs 44 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2021-22,2021,Not subsequently admitted patients,1785.0,reported,0 hrs 45 mins,3 hrs 11 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2022-23,2022,Not subsequently admitted patients,1202.0,reported,1 hrs 27 mins,4 hrs 5 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2023-24,2023,Not subsequently admitted patients,1262.0,reported,1 hrs 29 mins,4 hrs 16 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2024-25,2024,Not subsequently admitted patients,1269.0,reported,1 hrs 41 mins,4 hrs 32 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2013-14,2013,Subsequently admitted patients,96.0,reported,1 hrs 20 mins,45 hrs 30 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2014-15,2014,Subsequently admitted patients,79.0,reported,1 hrs 30 mins,6 hrs 40 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2015-16,2015,Subsequently admitted patients,76.0,reported,2 hrs 2 mins,6 hrs 0 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2016-17,2016,Subsequently admitted patients,107.0,reported,2 hrs 39 mins,7 hrs 59 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2017-18,2017,Subsequently admitted patients,173.0,reported,2 hrs 51 mins,8 hrs 29 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2018-19,2018,Subsequently admitted patients,161.0,reported,2 hrs 16 mins,6 hrs 33 mins,Not peered
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2019-20,2019,Subsequently admitted patients,134.0,reported,2 hrs 57 mins,7 hrs 26 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2020-21,2020,Subsequently admitted patients,103.0,reported,2 hrs 49 mins,6 hrs 30 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2021-22,2021,Subsequently admitted patients,134.0,reported,2 hrs 59 mins,6 hrs 50 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2022-23,2022,Subsequently admitted patients,137.0,reported,2 hrs 41 mins,6 hrs 11 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2023-24,2023,Subsequently admitted patients,141.0,reported,3 hrs 7 mins,6 hrs 53 mins,0 hrs 0 mins
Coolah Multi Purpose Service,Hospital,NSW,Unpeered,2024-25,2024,Subsequently admitted patients,124.0,reported,3 hrs 41 mins,10 hrs 53 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2013-14,2013,All patients,2893.0,reported,0 hrs 20 mins,1 hrs 30 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2014-15,2014,All patients,2484.0,reported,0 hrs 25 mins,1 hrs 50 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2015-16,2015,All patients,1984.0,reported,0 hrs 34 mins,2 hrs 14 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2016-17,2016,All patients,2228.0,reported,0 hrs 30 mins,2 hrs 30 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2017-18,2017,All patients,2127.0,reported,0 hrs 42 mins,3 hrs 48 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2018-19,2018,All patients,2447.0,reported,0 hrs 40 mins,4 hrs 16 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2019-20,2019,All patients,2045.0,reported,1 hrs 2 mins,5 hrs 10 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2020-21,2020,All patients,1777.0,reported,1 hrs 23 mins,5 hrs 1 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2021-22,2021,All patients,1549.0,reported,1 hrs 17 mins,5 hrs 21 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2022-23,2022,All patients,2202.0,reported,1 hrs 8 mins,5 hrs 4 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2023-24,2023,All patients,2157.0,reported,1 hrs 29 mins,5 hrs 39 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2024-25,2024,All patients,2014.0,reported,1 hrs 13 mins,5 hrs 34 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2013-14,2013,Not subsequently admitted patients,2766.0,reported,0 hrs 20 mins,1 hrs 25 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2014-15,2014,Not subsequently admitted patients,2317.0,reported,0 hrs 25 mins,1 hrs 40 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2015-16,2015,Not subsequently admitted patients,1849.0,reported,0 hrs 32 mins,2 hrs 5 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2016-17,2016,Not subsequently admitted patients,2074.0,reported,0 hrs 29 mins,2 hrs 25 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2017-18,2017,Not subsequently admitted patients,2011.0,reported,0 hrs 39 mins,3 hrs 36 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2018-19,2018,Not subsequently admitted patients,2377.0,reported,0 hrs 37 mins,4 hrs 9 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2019-20,2019,Not subsequently admitted patients,1976.0,reported,0 hrs 58 mins,5 hrs 3 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2020-21,2020,Not subsequently admitted patients,1724.0,reported,1 hrs 21 mins,4 hrs 52 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2021-22,2021,Not subsequently admitted patients,1468.0,reported,1 hrs 11 mins,5 hrs 18 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2022-23,2022,Not subsequently admitted patients,2156.0,reported,1 hrs 7 mins,5 hrs 0 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2023-24,2023,Not subsequently admitted patients,2053.0,reported,1 hrs 25 mins,5 hrs 28 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2024-25,2024,Not subsequently admitted patients,1953.0,reported,1 hrs 11 mins,5 hrs 19 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2013-14,2013,Subsequently admitted patients,127.0,reported,1 hrs 15 mins,11 hrs 31 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2014-15,2014,Subsequently admitted patients,167.0,reported,1 hrs 5 mins,3 hrs 20 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2015-16,2015,Subsequently admitted patients,131.0,reported,1 hrs 20 mins,3 hrs 14 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2016-17,2016,Subsequently admitted patients,154.0,reported,1 hrs 12 mins,3 hrs 34 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2017-18,2017,Subsequently admitted patients,116.0,reported,2 hrs 0 mins,5 hrs 41 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2018-19,2018,Subsequently admitted patients,68.0,reported,2 hrs 31 mins,11 hrs 20 mins,Not peered
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2019-20,2019,Subsequently admitted patients,69.0,reported,3 hrs 34 mins,8 hrs 14 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2020-21,2020,Subsequently admitted patients,53.0,reported,2 hrs 56 mins,6 hrs 51 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2021-22,2021,Subsequently admitted patients,81.0,reported,2 hrs 43 mins,5 hrs 28 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2022-23,2022,Subsequently admitted patients,46.0,reported,2 hrs 21 mins,11 hrs 36 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2023-24,2023,Subsequently admitted patients,104.0,reported,3 hrs 0 mins,11 hrs 58 mins,0 hrs 0 mins
Coolamon-Ganmain Multi Purpose Service,Hospital,NSW,Unpeered,2024-25,2024,Subsequently admitted patients,61.0,reported,3 hrs 7 mins,15 hrs 57 mins,0 hrs 0 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2013-14,2013,All patients,9360.0,reported,1 hrs 15 mins,4 hrs 35 mins,4 hrs 27 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2014-15,2014,All patients,9420.0,reported,1 hrs 20 mins,4 hrs 25 mins,4 hrs 27 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2015-16,2015,All patients,10265.0,reported,1 hrs 36 mins,4 hrs 36 mins,4 hrs 28 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2016-17,2016,All patients,10130.0,reported,1 hrs 39 mins,4 hrs 23 mins,4 hrs 32 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2017-18,2017,All patients,10839.0,reported,1 hrs 40 mins,4 hrs 24 mins,4 hrs 41 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2018-19,2018,All patients,10920.0,reported,1 hrs 44 mins,4 hrs 41 mins,4 hrs 49 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2019-20,2019,All patients,10441.0,reported,1 hrs 36 mins,4 hrs 39 mins,4 hrs 59 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2020-21,2020,All patients,10912.0,reported,1 hrs 50 mins,4 hrs 55 mins,5 hrs 20 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2021-22,2021,All patients,10584.0,reported,1 hrs 45 mins,5 hrs 20 mins,5 hrs 49 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2022-23,2022,All patients,11751.0,reported,1 hrs 52 mins,5 hrs 37 mins,6 hrs 6 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2023-24,2023,All patients,12003.0,reported,2 hrs 3 mins,5 hrs 38 mins,6 hrs 26 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2024-25,2024,All patients,11460.0,reported,1 hrs 55 mins,5 hrs 50 mins,6 hrs 45 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2013-14,2013,Not subsequently admitted patients,8130.0,reported,1 hrs 5 mins,3 hrs 42 mins,3 hrs 34 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2014-15,2014,Not subsequently admitted patients,8195.0,reported,1 hrs 10 mins,3 hrs 35 mins,3 hrs 34 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2015-16,2015,Not subsequently admitted patients,8875.0,reported,1 hrs 20 mins,3 hrs 45 mins,3 hrs 49 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2016-17,2016,Not subsequently admitted patients,8756.0,reported,1 hrs 24 mins,3 hrs 47 mins,3 hrs 52 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2017-18,2017,Not subsequently admitted patients,9342.0,reported,1 hrs 25 mins,3 hrs 47 mins,3 hrs 58 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2018-19,2018,Not subsequently admitted patients,9458.0,reported,1 hrs 28 mins,4 hrs 1 mins,4 hrs 4 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2019-20,2019,Not subsequently admitted patients,9331.0,reported,1 hrs 24 mins,4 hrs 5 mins,4 hrs 15 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2020-21,2020,Not subsequently admitted patients,9916.0,reported,1 hrs 40 mins,4 hrs 20 mins,4 hrs 36 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2021-22,2021,Not subsequently admitted patients,9692.0,reported,1 hrs 36 mins,4 hrs 37 mins,5 hrs 4 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2022-23,2022,Not subsequently admitted patients,10859.0,reported,1 hrs 43 mins,4 hrs 51 mins,5 hrs 20 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2023-24,2023,Not subsequently admitted patients,10937.0,reported,1 hrs 52 mins,4 hrs 56 mins,5 hrs 33 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2024-25,2024,Not subsequently admitted patients,10405.0,reported,1 hrs 43 mins,5 hrs 9 mins,5 hrs 45 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2013-14,2013,Subsequently admitted patients,1211.0,reported,3 hrs 30 mins,8 hrs 20 mins,7 hrs 36 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2014-15,2014,Subsequently admitted patients,1222.0,reported,3 hrs 20 mins,6 hrs 55 mins,7 hrs 42 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2015-16,2015,Subsequently admitted patients,1390.0,reported,3 hrs 56 mins,6 hrs 52 mins,7 hrs 16 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2016-17,2016,Subsequently admitted patients,1374.0,reported,3 hrs 34 mins,6 hrs 18 mins,7 hrs 14 mins
Cooma Hospital and Health Service,Hospital,NSW,Small hospitals,2017-18,2017,Subsequently admitted patients,1496.0,reported,3 hrs 37 mins,6 hrs 35 mins,7 hrs 34 mins
