reporting_unit,reporting_unit_type,state,peer_group,financial_year,year,patient_cohort,number_of_presentations,number_of_presentations_flag,median_time,p90_time,peer_group_avg_p90_time
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2018-19,2018,All patients,36215.0,reported,2 hrs 43 mins,9 hrs 29 mins,8 hrs 7 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2019-20,2019,All patients,36091.0,reported,2 hrs 47 mins,9 hrs 15 mins,8 hrs 8 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2020-21,2020,All patients,36158.0,reported,2 hrs 42 mins,8 hrs 58 mins,8 hrs 47 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2021-22,2021,All patients,37852.0,reported,2 hrs 52 mins,10 hrs 23 mins,10 hrs 17 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2022-23,2022,All patients,39839.0,reported,3 hrs 0 mins,11 hrs 37 mins,12 hrs 17 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2023-24,2023,All patients,40569.0,reported,3 hrs 32 mins,13 hrs 23 mins,12 hrs 23 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2024-25,2024,All patients,43999.0,reported,3 hrs 46 mins,14 hrs 14 mins,13 hrs 31 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2011-12,2011,Not subsequently admitted patients,27055.0,reported,1 hrs 32 mins,5 hrs 48 mins,5 hrs 21 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2012-13,2012,Not subsequently admitted patients,25479.0,reported,1 hrs 46 mins,6 hrs 8 mins,5 hrs 17 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2013-14,2013,Not subsequently admitted patients,24976.0,reported,1 hrs 44 mins,5 hrs 28 mins,4 hrs 55 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2014-15,2014,Not subsequently admitted patients,24306.0,reported,1 hrs 46 mins,5 hrs 3 mins,4 hrs 45 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2015-16,2015,Not subsequently admitted patients,25297.0,reported,1 hrs 48 mins,5 hrs 0 mins,4 hrs 56 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2016-17,2016,Not subsequently admitted patients,25577.0,reported,1 hrs 59 mins,5 hrs 31 mins,5 hrs 5 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2017-18,2017,Not subsequently admitted patients,25435.0,reported,1 hrs 56 mins,5 hrs 25 mins,5 hrs 6 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2018-19,2018,Not subsequently admitted patients,27052.0,reported,2 hrs 7 mins,6 hrs 4 mins,5 hrs 19 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2019-20,2019,Not subsequently admitted patients,26925.0,reported,2 hrs 12 mins,6 hrs 4 mins,5 hrs 31 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2020-21,2020,Not subsequently admitted patients,26731.0,reported,2 hrs 6 mins,5 hrs 54 mins,5 hrs 52 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2021-22,2021,Not subsequently admitted patients,27963.0,reported,2 hrs 10 mins,6 hrs 7 mins,6 hrs 39 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2022-23,2022,Not subsequently admitted patients,29960.0,reported,2 hrs 19 mins,6 hrs 22 mins,7 hrs 18 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2023-24,2023,Not subsequently admitted patients,29924.0,reported,2 hrs 42 mins,7 hrs 20 mins,7 hrs 22 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2024-25,2024,Not subsequently admitted patients,31005.0,reported,3 hrs 4 mins,7 hrs 43 mins,7 hrs 45 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2011-12,2011,Subsequently admitted patients,6091.0,reported,7 hrs 10 mins,20 hrs 14 mins,16 hrs 22 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2012-13,2012,Subsequently admitted patients,6690.0,reported,7 hrs 30 mins,20 hrs 30 mins,15 hrs 22 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2013-14,2013,Subsequently admitted patients,7286.0,reported,6 hrs 37 mins,19 hrs 2 mins,14 hrs 15 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2014-15,2014,Subsequently admitted patients,8358.0,reported,5 hrs 24 mins,17 hrs 41 mins,13 hrs 15 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2015-16,2015,Subsequently admitted patients,8649.0,reported,5 hrs 3 mins,14 hrs 26 mins,13 hrs 0 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2016-17,2016,Subsequently admitted patients,8846.0,reported,5 hrs 35 mins,16 hrs 29 mins,12 hrs 50 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2017-18,2017,Subsequently admitted patients,9264.0,reported,5 hrs 46 mins,16 hrs 47 mins,13 hrs 48 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2018-19,2018,Subsequently admitted patients,9163.0,reported,6 hrs 13 mins,16 hrs 31 mins,14 hrs 18 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2019-20,2019,Subsequently admitted patients,9166.0,reported,6 hrs 2 mins,16 hrs 10 mins,13 hrs 37 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2020-21,2020,Subsequently admitted patients,9427.0,reported,5 hrs 45 mins,16 hrs 17 mins,15 hrs 37 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2021-22,2021,Subsequently admitted patients,9888.0,reported,6 hrs 55 mins,18 hrs 37 mins,19 hrs 8 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2022-23,2022,Subsequently admitted patients,9879.0,reported,7 hrs 46 mins,22 hrs 1 mins,22 hrs 25 mins
