reporting_unit,reporting_unit_type,state,financial_year,year,triage_category,number_of_presentations,number_of_presentations_flag
Lachlan Health Service - Parkes,Hospital,NSW,2015-16,2015,Non-Urgent,4047.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2016-17,2016,Non-Urgent,2898.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2017-18,2017,Non-Urgent,3177.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2018-19,2018,Non-Urgent,2136.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2019-20,2019,Non-Urgent,2077.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2020-21,2020,Non-Urgent,2652.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2021-22,2021,Non-Urgent,1202.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2022-23,2022,Non-Urgent,1225.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2023-24,2023,Non-Urgent,1245.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2024-25,2024,Non-Urgent,1216.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2013-14,2013,Resuscitation,20.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2014-15,2014,Resuscitation,24.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2015-16,2015,Resuscitation,38.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2016-17,2016,Resuscitation,22.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2017-18,2017,Resuscitation,22.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2018-19,2018,Resuscitation,35.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2019-20,2019,Resuscitation,25.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2020-21,2020,Resuscitation,28.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2021-22,2021,Resuscitation,20.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2022-23,2022,Resuscitation,45.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2023-24,2023,Resuscitation,50.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2024-25,2024,Resuscitation,50.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2013-14,2013,Semi-Urgent,4110.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2014-15,2014,Semi-Urgent,4094.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2015-16,2015,Semi-Urgent,4498.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2016-17,2016,Semi-Urgent,4646.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2017-18,2017,Semi-Urgent,4945.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2018-19,2018,Semi-Urgent,4751.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2019-20,2019,Semi-Urgent,4952.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2020-21,2020,Semi-Urgent,5449.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2021-22,2021,Semi-Urgent,5115.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2022-23,2022,Semi-Urgent,5473.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2023-24,2023,Semi-Urgent,5353.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2024-25,2024,Semi-Urgent,4896.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2013-14,2013,Urgent,1824.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2014-15,2014,Urgent,1671.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2015-16,2015,Urgent,1825.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2016-17,2016,Urgent,1833.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2017-18,2017,Urgent,1895.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2018-19,2018,Urgent,2287.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2019-20,2019,Urgent,2474.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2020-21,2020,Urgent,2596.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2021-22,2021,Urgent,2985.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2022-23,2022,Urgent,3273.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2023-24,2023,Urgent,3584.0,reported
Lachlan Health Service - Parkes,Hospital,NSW,2024-25,2024,Urgent,3555.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2013-14,2013,Emergency,82.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2014-15,2014,Emergency,136.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2015-16,2015,Emergency,123.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2016-17,2016,Emergency,159.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2017-18,2017,Emergency,136.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2018-19,2018,Emergency,135.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2019-20,2019,Emergency,106.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2020-21,2020,Emergency,98.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2021-22,2021,Emergency,148.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2022-23,2022,Emergency,158.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2023-24,2023,Emergency,172.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2024-25,2024,Emergency,192.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2013-14,2013,Non-Urgent,646.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2014-15,2014,Non-Urgent,791.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2015-16,2015,Non-Urgent,767.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2016-17,2016,Non-Urgent,638.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2017-18,2017,Non-Urgent,778.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2018-19,2018,Non-Urgent,718.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2019-20,2019,Non-Urgent,802.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2020-21,2020,Non-Urgent,699.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2021-22,2021,Non-Urgent,865.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2022-23,2022,Non-Urgent,1572.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2023-24,2023,Non-Urgent,1093.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2024-25,2024,Non-Urgent,1104.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2013-14,2013,Resuscitation,,suppressed_small_count
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2014-15,2014,Resuscitation,,suppressed_small_count
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2015-16,2015,Resuscitation,,suppressed_small_count
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2016-17,2016,Resuscitation,9.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2017-18,2017,Resuscitation,,suppressed_small_count
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2018-19,2018,Resuscitation,10.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2019-20,2019,Resuscitation,6.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2020-21,2020,Resuscitation,,suppressed_small_count
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2021-22,2021,Resuscitation,6.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2022-23,2022,Resuscitation,,suppressed_small_count
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2023-24,2023,Resuscitation,5.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2024-25,2024,Resuscitation,8.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2013-14,2013,Semi-Urgent,771.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2014-15,2014,Semi-Urgent,828.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2015-16,2015,Semi-Urgent,654.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2016-17,2016,Semi-Urgent,524.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2017-18,2017,Semi-Urgent,587.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2018-19,2018,Semi-Urgent,589.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2019-20,2019,Semi-Urgent,412.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2020-21,2020,Semi-Urgent,551.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2021-22,2021,Semi-Urgent,748.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2022-23,2022,Semi-Urgent,1123.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2023-24,2023,Semi-Urgent,898.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2024-25,2024,Semi-Urgent,738.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2013-14,2013,Urgent,277.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2014-15,2014,Urgent,349.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2015-16,2015,Urgent,421.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2016-17,2016,Urgent,450.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2017-18,2017,Urgent,426.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2018-19,2018,Urgent,468.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2019-20,2019,Urgent,447.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2020-21,2020,Urgent,356.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2021-22,2021,Urgent,439.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2022-23,2022,Urgent,443.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2023-24,2023,Urgent,480.0,reported
Lake Cargelligo Multi Purpose Service,Hospital,NSW,2024-25,2024,Urgent,418.0,reported
Leeton Hospital,Hospital,NSW,2013-14,2013,Emergency,315.0,reported
Leeton Hospital,Hospital,NSW,2014-15,2014,Emergency,426.0,reported
Leeton Hospital,Hospital,NSW,2015-16,2015,Emergency,407.0,reported
Leeton Hospital,Hospital,NSW,2016-17,2016,Emergency,546.0,reported
Leeton Hospital,Hospital,NSW,2017-18,2017,Emergency,630.0,reported
Leeton Hospital,Hospital,NSW,2018-19,2018,Emergency,545.0,reported
Leeton Hospital,Hospital,NSW,2019-20,2019,Emergency,488.0,reported
Leeton Hospital,Hospital,NSW,2020-21,2020,Emergency,575.0,reported
Leeton Hospital,Hospital,NSW,2021-22,2021,Emergency,576.0,reported
Leeton Hospital,Hospital,NSW,2022-23,2022,Emergency,601.0,reported
Leeton Hospital,Hospital,NSW,2023-24,2023,Emergency,677.0,reported
Leeton Hospital,Hospital,NSW,2024-25,2024,Emergency,682.0,reported
Leeton Hospital,Hospital,NSW,2013-14,2013,Non-Urgent,2896.0,reported
Leeton Hospital,Hospital,NSW,2014-15,2014,Non-Urgent,2433.0,reported
Leeton Hospital,Hospital,NSW,2015-16,2015,Non-Urgent,2160.0,reported
Leeton Hospital,Hospital,NSW,2016-17,2016,Non-Urgent,2268.0,reported
Leeton Hospital,Hospital,NSW,2017-18,2017,Non-Urgent,1568.0,reported
Leeton Hospital,Hospital,NSW,2018-19,2018,Non-Urgent,2504.0,reported
Leeton Hospital,Hospital,NSW,2019-20,2019,Non-Urgent,1908.0,reported
Leeton Hospital,Hospital,NSW,2020-21,2020,Non-Urgent,1459.0,reported
Leeton Hospital,Hospital,NSW,2021-22,2021,Non-Urgent,1647.0,reported
Leeton Hospital,Hospital,NSW,2022-23,2022,Non-Urgent,1233.0,reported
Leeton Hospital,Hospital,NSW,2023-24,2023,Non-Urgent,1528.0,reported
Leeton Hospital,Hospital,NSW,2024-25,2024,Non-Urgent,1749.0,reported
Leeton Hospital,Hospital,NSW,2013-14,2013,Resuscitation,20.0,reported
Leeton Hospital,Hospital,NSW,2014-15,2014,Resuscitation,18.0,reported
Leeton Hospital,Hospital,NSW,2015-16,2015,Resuscitation,14.0,reported
Leeton Hospital,Hospital,NSW,2016-17,2016,Resuscitation,29.0,reported
Leeton Hospital,Hospital,NSW,2017-18,2017,Resuscitation,29.0,reported
Leeton Hospital,Hospital,NSW,2018-19,2018,Resuscitation,15.0,reported
Leeton Hospital,Hospital,NSW,2019-20,2019,Resuscitation,13.0,reported
Leeton Hospital,Hospital,NSW,2020-21,2020,Resuscitation,17.0,reported
Leeton Hospital,Hospital,NSW,2021-22,2021,Resuscitation,17.0,reported
Leeton Hospital,Hospital,NSW,2022-23,2022,Resuscitation,20.0,reported
Leeton Hospital,Hospital,NSW,2023-24,2023,Resuscitation,20.0,reported
Leeton Hospital,Hospital,NSW,2024-25,2024,Resuscitation,12.0,reported
Leeton Hospital,Hospital,NSW,2013-14,2013,Semi-Urgent,2144.0,reported
Leeton Hospital,Hospital,NSW,2014-15,2014,Semi-Urgent,2100.0,reported
Leeton Hospital,Hospital,NSW,2015-16,2015,Semi-Urgent,2812.0,reported
Leeton Hospital,Hospital,NSW,2016-17,2016,Semi-Urgent,2354.0,reported
Leeton Hospital,Hospital,NSW,2017-18,2017,Semi-Urgent,1885.0,reported
Leeton Hospital,Hospital,NSW,2018-19,2018,Semi-Urgent,2526.0,reported
Leeton Hospital,Hospital,NSW,2019-20,2019,Semi-Urgent,2879.0,reported
Leeton Hospital,Hospital,NSW,2020-21,2020,Semi-Urgent,2628.0,reported
Leeton Hospital,Hospital,NSW,2021-22,2021,Semi-Urgent,2212.0,reported
Leeton Hospital,Hospital,NSW,2022-23,2022,Semi-Urgent,2462.0,reported
Leeton Hospital,Hospital,NSW,2023-24,2023,Semi-Urgent,2853.0,reported
Leeton Hospital,Hospital,NSW,2024-25,2024,Semi-Urgent,3064.0,reported
Leeton Hospital,Hospital,NSW,2013-14,2013,Urgent,978.0,reported
Leeton Hospital,Hospital,NSW,2014-15,2014,Urgent,1196.0,reported
Leeton Hospital,Hospital,NSW,2015-16,2015,Urgent,1378.0,reported
Leeton Hospital,Hospital,NSW,2016-17,2016,Urgent,2451.0,reported
Leeton Hospital,Hospital,NSW,2017-18,2017,Urgent,3095.0,reported
Leeton Hospital,Hospital,NSW,2018-19,2018,Urgent,2176.0,reported
Leeton Hospital,Hospital,NSW,2019-20,2019,Urgent,2009.0,reported
Leeton Hospital,Hospital,NSW,2020-21,2020,Urgent,1759.0,reported
Leeton Hospital,Hospital,NSW,2021-22,2021,Urgent,1657.0,reported
Leeton Hospital,Hospital,NSW,2022-23,2022,Urgent,1607.0,reported
Leeton Hospital,Hospital,NSW,2023-24,2023,Urgent,1987.0,reported
Leeton Hospital,Hospital,NSW,2024-25,2024,Urgent,2128.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2013-14,2013,Emergency,174.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2014-15,2014,Emergency,285.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2015-16,2015,Emergency,159.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2016-17,2016,Emergency,320.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2017-18,2017,Emergency,315.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2018-19,2018,Emergency,277.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2019-20,2019,Emergency,224.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2020-21,2020,Emergency,233.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2021-22,2021,Emergency,371.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2022-23,2022,Emergency,315.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2023-24,2023,Emergency,368.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2024-25,2024,Emergency,308.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2013-14,2013,Non-Urgent,3911.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2014-15,2014,Non-Urgent,2901.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2015-16,2015,Non-Urgent,1326.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2016-17,2016,Non-Urgent,649.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2017-18,2017,Non-Urgent,736.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2018-19,2018,Non-Urgent,962.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2019-20,2019,Non-Urgent,1088.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2020-21,2020,Non-Urgent,1627.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2021-22,2021,Non-Urgent,1448.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2022-23,2022,Non-Urgent,1474.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2023-24,2023,Non-Urgent,844.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2024-25,2024,Non-Urgent,960.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2013-14,2013,Resuscitation,13.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2014-15,2014,Resuscitation,,suppressed_small_count
Lightning Ridge Multi Purpose Service,Hospital,NSW,2015-16,2015,Resuscitation,,suppressed_small_count
Lightning Ridge Multi Purpose Service,Hospital,NSW,2016-17,2016,Resuscitation,11.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2017-18,2017,Resuscitation,10.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2018-19,2018,Resuscitation,9.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2019-20,2019,Resuscitation,9.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2020-21,2020,Resuscitation,9.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2021-22,2021,Resuscitation,14.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2022-23,2022,Resuscitation,11.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2023-24,2023,Resuscitation,13.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2024-25,2024,Resuscitation,14.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2013-14,2013,Semi-Urgent,1329.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2014-15,2014,Semi-Urgent,1047.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2015-16,2015,Semi-Urgent,1030.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2016-17,2016,Semi-Urgent,930.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2017-18,2017,Semi-Urgent,806.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2018-19,2018,Semi-Urgent,1037.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2019-20,2019,Semi-Urgent,926.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2020-21,2020,Semi-Urgent,951.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2021-22,2021,Semi-Urgent,1243.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2022-23,2022,Semi-Urgent,1503.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2023-24,2023,Semi-Urgent,1402.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2024-25,2024,Semi-Urgent,1462.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2013-14,2013,Urgent,569.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2014-15,2014,Urgent,507.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2015-16,2015,Urgent,392.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2016-17,2016,Urgent,627.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2017-18,2017,Urgent,862.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2018-19,2018,Urgent,782.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2019-20,2019,Urgent,715.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2020-21,2020,Urgent,737.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2021-22,2021,Urgent,954.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2022-23,2022,Urgent,727.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2023-24,2023,Urgent,794.0,reported
Lightning Ridge Multi Purpose Service,Hospital,NSW,2024-25,2024,Urgent,1022.0,reported
Lismore Base Hospital,Hospital,NSW,2011-12,2011,Emergency,3192.0,reported
Lismore Base Hospital,Hospital,NSW,2012-13,2012,Emergency,2901.0,reported
Lismore Base Hospital,Hospital,NSW,2013-14,2013,Emergency,3208.0,reported
Lismore Base Hospital,Hospital,NSW,2014-15,2014,Emergency,3347.0,reported
Lismore Base Hospital,Hospital,NSW,2015-16,2015,Emergency,3592.0,reported
Lismore Base Hospital,Hospital,NSW,2016-17,2016,Emergency,3456.0,reported
Lismore Base Hospital,Hospital,NSW,2017-18,2017,Emergency,3592.0,reported
Lismore Base Hospital,Hospital,NSW,2018-19,2018,Emergency,4201.0,reported
Lismore Base Hospital,Hospital,NSW,2019-20,2019,Emergency,4506.0,reported
Lismore Base Hospital,Hospital,NSW,2020-21,2020,Emergency,5359.0,reported
Lismore Base Hospital,Hospital,NSW,2021-22,2021,Emergency,5270.0,reported
Lismore Base Hospital,Hospital,NSW,2022-23,2022,Emergency,5532.0,reported
Lismore Base Hospital,Hospital,NSW,2023-24,2023,Emergency,5686.0,reported
Lismore Base Hospital,Hospital,NSW,2024-25,2024,Emergency,6275.0,reported
Lismore Base Hospital,Hospital,NSW,2011-12,2011,Non-Urgent,3715.0,reported
Lismore Base Hospital,Hospital,NSW,2012-13,2012,Non-Urgent,4062.0,reported
Lismore Base Hospital,Hospital,NSW,2013-14,2013,Non-Urgent,4070.0,reported
Lismore Base Hospital,Hospital,NSW,2014-15,2014,Non-Urgent,4350.0,reported
Lismore Base Hospital,Hospital,NSW,2015-16,2015,Non-Urgent,3471.0,reported
Lismore Base Hospital,Hospital,NSW,2016-17,2016,Non-Urgent,3960.0,reported
Lismore Base Hospital,Hospital,NSW,2017-18,2017,Non-Urgent,4292.0,reported
Lismore Base Hospital,Hospital,NSW,2018-19,2018,Non-Urgent,4221.0,reported
Lismore Base Hospital,Hospital,NSW,2019-20,2019,Non-Urgent,3694.0,reported
Lismore Base Hospital,Hospital,NSW,2020-21,2020,Non-Urgent,4034.0,reported
Lismore Base Hospital,Hospital,NSW,2021-22,2021,Non-Urgent,3863.0,reported
Lismore Base Hospital,Hospital,NSW,2022-23,2022,Non-Urgent,3159.0,reported
Lismore Base Hospital,Hospital,NSW,2023-24,2023,Non-Urgent,3552.0,reported
Lismore Base Hospital,Hospital,NSW,2024-25,2024,Non-Urgent,3291.0,reported
Lismore Base Hospital,Hospital,NSW,2011-12,2011,Resuscitation,276.0,reported
Lismore Base Hospital,Hospital,NSW,2012-13,2012,Resuscitation,249.0,reported
Lismore Base Hospital,Hospital,NSW,2013-14,2013,Resuscitation,260.0,reported
Lismore Base Hospital,Hospital,NSW,2014-15,2014,Resuscitation,257.0,reported
Lismore Base Hospital,Hospital,NSW,2015-16,2015,Resuscitation,223.0,reported
Lismore Base Hospital,Hospital,NSW,2016-17,2016,Resuscitation,183.0,reported
Lismore Base Hospital,Hospital,NSW,2017-18,2017,Resuscitation,170.0,reported
Lismore Base Hospital,Hospital,NSW,2018-19,2018,Resuscitation,191.0,reported
Lismore Base Hospital,Hospital,NSW,2019-20,2019,Resuscitation,189.0,reported
Lismore Base Hospital,Hospital,NSW,2020-21,2020,Resuscitation,264.0,reported
Lismore Base Hospital,Hospital,NSW,2021-22,2021,Resuscitation,183.0,reported
Lismore Base Hospital,Hospital,NSW,2022-23,2022,Resuscitation,241.0,reported
Lismore Base Hospital,Hospital,NSW,2023-24,2023,Resuscitation,326.0,reported
Lismore Base Hospital,Hospital,NSW,2024-25,2024,Resuscitation,360.0,reported
Lismore Base Hospital,Hospital,NSW,2011-12,2011,Semi-Urgent,13013.0,reported
Lismore Base Hospital,Hospital,NSW,2012-13,2012,Semi-Urgent,13112.0,reported
Lismore Base Hospital,Hospital,NSW,2013-14,2013,Semi-Urgent,12458.0,reported
Lismore Base Hospital,Hospital,NSW,2014-15,2014,Semi-Urgent,12882.0,reported
Lismore Base Hospital,Hospital,NSW,2015-16,2015,Semi-Urgent,12896.0,reported
Lismore Base Hospital,Hospital,NSW,2016-17,2016,Semi-Urgent,13991.0,reported
Lismore Base Hospital,Hospital,NSW,2017-18,2017,Semi-Urgent,15632.0,reported
Lismore Base Hospital,Hospital,NSW,2018-19,2018,Semi-Urgent,16998.0,reported
Lismore Base Hospital,Hospital,NSW,2019-20,2019,Semi-Urgent,16929.0,reported
Lismore Base Hospital,Hospital,NSW,2020-21,2020,Semi-Urgent,15782.0,reported
Lismore Base Hospital,Hospital,NSW,2021-22,2021,Semi-Urgent,14283.0,reported
Lismore Base Hospital,Hospital,NSW,2022-23,2022,Semi-Urgent,15068.0,reported
Lismore Base Hospital,Hospital,NSW,2023-24,2023,Semi-Urgent,15341.0,reported
Lismore Base Hospital,Hospital,NSW,2024-25,2024,Semi-Urgent,13827.0,reported
Lismore Base Hospital,Hospital,NSW,2011-12,2011,Urgent,9232.0,reported
Lismore Base Hospital,Hospital,NSW,2012-13,2012,Urgent,9237.0,reported
Lismore Base Hospital,Hospital,NSW,2013-14,2013,Urgent,9504.0,reported
Lismore Base Hospital,Hospital,NSW,2014-15,2014,Urgent,10293.0,reported
Lismore Base Hospital,Hospital,NSW,2015-16,2015,Urgent,10812.0,reported
Lismore Base Hospital,Hospital,NSW,2016-17,2016,Urgent,11776.0,reported
Lismore Base Hospital,Hospital,NSW,2017-18,2017,Urgent,12135.0,reported
Lismore Base Hospital,Hospital,NSW,2018-19,2018,Urgent,13118.0,reported
Lismore Base Hospital,Hospital,NSW,2019-20,2019,Urgent,13615.0,reported
Lismore Base Hospital,Hospital,NSW,2020-21,2020,Urgent,14604.0,reported
Lismore Base Hospital,Hospital,NSW,2021-22,2021,Urgent,14270.0,reported
Lismore Base Hospital,Hospital,NSW,2022-23,2022,Urgent,14861.0,reported
Lismore Base Hospital,Hospital,NSW,2023-24,2023,Urgent,15558.0,reported
Lismore Base Hospital,Hospital,NSW,2024-25,2024,Urgent,16468.0,reported
Lithgow Hospital,Hospital,NSW,2011-12,2011,Emergency,882.0,reported
Lithgow Hospital,Hospital,NSW,2012-13,2012,Emergency,1107.0,reported
Lithgow Hospital,Hospital,NSW,2013-14,2013,Emergency,1260.0,reported
Lithgow Hospital,Hospital,NSW,2014-15,2014,Emergency,1004.0,reported
Lithgow Hospital,Hospital,NSW,2015-16,2015,Emergency,1302.0,reported
Lithgow Hospital,Hospital,NSW,2016-17,2016,Emergency,1347.0,reported
Lithgow Hospital,Hospital,NSW,2017-18,2017,Emergency,1371.0,reported
Lithgow Hospital,Hospital,NSW,2018-19,2018,Emergency,1399.0,reported
Lithgow Hospital,Hospital,NSW,2019-20,2019,Emergency,1262.0,reported
Lithgow Hospital,Hospital,NSW,2020-21,2020,Emergency,1227.0,reported
